ID,YEAR,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,latitude,longitude,REGION_CODE,MAXIMUM_WATER_HEIGHT
1734,1939,1,,7,JAPAN,NW. HONSHU ISLAND,40.1,139.5,85,1.2
1735,1939,6,110,6.5,PHILIPPINES,TAYABAS BAY, SULU SEA,13.5,121.25,84
4258,1939,8,16,6.5,PORTUGAL,AZORES,37.053,-24.427,73,
1736,1939,22,13,6.4,GHANA,GOLD COAST,5.18,-0.13,77,
1737,1939,15,,5.6,CUBA,SANTA CLARA,22.2,-79.1,74,
1738,1939,21,150,8,INDONESIA,N. MOLUCCAS ISLANDS,0,123,83,
2301,1939,26,35,7.7,TURKEY,SOUTH BLACK SEA,39.77,39.533,40,0.53
3400,1940,15,15,5.1,ITALY,NORTHERN SICILY,38.067,13.467,50,
1739,1940,24,60,8.2,PERU,CENTRAL PERU,-10.5,-77,89,2
1741,1940,1,10,7.5,JAPAN,W. HOKKAIDO ISLAND,44.2,139.5,85,3.5
4240,1940,31,,,NORWAY,NORTHERN NORWAY,65.883,13.167,73,
1742,1940,4,75,7.3,CHILE,NORTHERN CHILE,-22,-71,89,
1743,1940,11,33,7,CHILE,SOUTHERN CHILE,-41.5,-74.5,89,
1744,1941,13,15,7.4,PAPUA NEW GUINEA,BISMARCK SEA,-4.175,152.071,82,0.15
1745,1941,9,,6.6,USA,NORTHERN CALIFORNIA,40.5,-125.25,88,
3399,1941,16,,,ITALY,CALABRIAN ARC,38.3,12.2,50,
1746,1941,26,55,7.6,INDIA,ANDAMAN SEA, E. COAST INDIA,12.5,92.5,60
1747,1941,18,10,7.4,JAPAN,SEIKAIDO,32,132.1,85,1.2
3724,1941,25,,8.3,ATLANTIC OCEAN,AZORES GIBRALTAR FRACTURE ZONE,37.417,-18.983,73,0.1
1748,1941,5,,7.6,COSTA RICA,COSTA RICA-PANAMA,8.7,-83.2,88,0.23
1749,1941,6,,6.9,COSTA RICA,COSTA RICA-PANAMA,8.5,-84,88,0.1
1750,1942,22,130,5.8,COLOMBIA,COLOMBIA,4.6,-74.5,89,1
1751,1942,24,60,8.2,PERU,S. PERU,-15,-76,89,2
1752,1943,6,35,8.2,CHILE,CENTRAL CHILE,-30.75,-72,89,1
1753,1943,13,20,7.1,JAPAN,SE. HOKKAIDO ISLAND,41.2,143.3,85,0.6
1754,1944,9,,,USA,COLUMBIA RIVER VALLEY, WA,,,88
4227,1944,20,,,ITALY,STROMBOLI ISlAND,38.789,15.213,50,
2459,1944,14,,,USA,NEW JERSEY COAST,38.933,-74.9,75,
